,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.07907196129738824,0.12880139112366742,0.10663122698379665,0.01817422482453979,0.11113049276647231,0.027562425157277123,5,0,0.0,minimize
sanity.close_values_probability.score,0.9019607843137255,0.9607843137254902,0.9372549019607842,0.019211684257122965,0.9411764705882353,0.0,5,0,0.0,maximize
sanity.distant_values_probability.score,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0,0.0196078431372549,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.04087828471962693,0.0474157855538591,0.04361588714247651,0.0021156365660114015,0.043332168516002904,0.0003530094090501007,5,0,0.06,minimize
stats.chi_squared_test.marginal,0.06635122051678316,0.19980629356384022,0.14589131725545698,0.04969962694758025,0.1332745192070287,0.06672941145628059,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.4538837704293245,0.4996087768915102,0.481358839472673,0.016619049134838543,0.482089511118363,0.022645641072088663,5,0,0.01,maximize
stats.ks_test.marginal,0.5686274509803921,0.6352941176470587,0.6073202614379084,0.028622376964007715,0.627450980392157,0.05228758169934644,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.03921568627442029,0.039215686274459455,0.03921568627444603,1.5260581125456856e-14,0.039215686274453855,2.238487173400472e-14,5,0,0.0,minimize
stats.wasserstein_dist.joint,0.639007597647633,0.823165244632151,0.7045142941730841,0.0636141381606809,0.683452015712767,0.0425763170328034,5,0,0.01,minimize
stats.prdc.precision,0.1568627450980392,0.37254901960784315,0.2705882352941177,0.07166928189214536,0.2549019607843137,0.05882352941176472,5,0,0.01,maximize
stats.prdc.recall,0.9215686274509803,0.9607843137254902,0.9450980392156862,0.014673166222642938,0.9411764705882353,0.019607843137254943,5,0,0.01,maximize
stats.prdc.density,0.050980392156862744,0.09019607843137256,0.07607843137254902,0.014589078617833946,0.0784313725490196,0.0196078431372549,5,0,0.01,maximize
stats.prdc.coverage,0.058823529411764705,0.09803921568627451,0.08235294117647059,0.014673166222642907,0.0784313725490196,0.0196078431372549,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.022222222222222254,0.08627450980392148,0.05150326797385618,0.024920395283226066,0.04444444444444451,0.04444444444444451,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.065359477124183,0.027712418300653584,0.024945067590852934,0.036601307189542465,0.036601307189542465,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.1006535947712417,0.12941176470588234,0.11477124183006526,0.010239558707224186,0.1124183006535946,0.014379084967320432,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.8823529411764706,1.0,0.9764705882352942,0.04705882352941178,1.0,0.0,5,0,0.1,maximize
performance.linear_model.gt,0.9961102909807574,0.9983946567141698,0.9975437982119557,0.0007620230551626899,0.9977665379130943,0.00014221309140849403,5,0,0.02,maximize
performance.linear_model.syn_id,-4.753938354792714,-0.6576659273949687,-2.9114820075294157,1.3505501746914363,-3.0439157742843572,1.085502655259849,5,0,0.02,maximize
performance.linear_model.syn_ood,-8.332344617143386,0.09582104142732073,-3.8840165917655156,3.244196389260487,-3.882883264396393,5.811731008067419,5,0,0.02,maximize
performance.mlp.gt,0.2337244976857489,0.5289121735745869,0.35841140193807175,0.12613566863879896,0.2863576889307223,0.24247760715909594,5,0,8.2,maximize
performance.mlp.syn_id,-3.4077915609991116,-0.5815631989762701,-1.5496297916877204,0.9906864393652076,-1.1219728250035341,0.6746332139875784,5,0,8.2,maximize
performance.mlp.syn_ood,-5.190378319720147,-0.27215073940951173,-1.710331043009622,1.7853834590576372,-0.8455468815844349,0.7978285867843455,5,0,8.2,maximize
performance.xgb.gt,0.813041353838952,0.8928409449891369,0.8501194732720672,0.025752558036009628,0.8478028354323871,0.014502400852574149,5,0,0.37,maximize
performance.xgb.syn_id,-5.287022817569393,-0.584853509474199,-2.832015344102635,1.5686502223207401,-2.49686642311806,1.4873410719041784,5,0,0.37,maximize
performance.xgb.syn_ood,-12.020864478437923,-0.6992868024720456,-5.4786885144982636,4.0760692430474155,-6.296435976174865,5.182798131180361,5,0,0.37,maximize
performance.feat_rank_distance.corr,0.01098901098901099,0.23076923076923078,0.15164835164835166,0.09072425248593537,0.2087912087912088,0.15384615384615385,5,0,0.09,minimize
performance.feat_rank_distance.pvalue,0.2791797743335442,1.0,0.5272719458763605,0.2944593035252339,0.3308114209974329,0.4680089853837373,5,0,0.09,minimize
detection.detection_xgb.mean,0.9077277970011535,0.958477508650519,0.9381776239907728,0.016596176007939938,0.9423298731257209,0.0023068050749712743,5,0,0.11,minimize
detection.detection_mlp.mean,0.4359861591695502,0.7635524798154556,0.6183391003460208,0.13074030176006285,0.6459054209919262,0.24625144175317182,5,0,1.09,minimize
detection.detection_gmm.mean,0.5,0.5686274509803921,0.5372549019607844,0.024332693423511482,0.5294117647058824,0.02941176470588236,5,0,0.04,minimize
detection.detection_linear.mean,0.7185697808535179,0.7958477508650518,0.7600922722029988,0.02516427246744105,0.7658592848904267,0.016147635524798032,5,0,0.26,minimize
privacy.delta-presence.score,1.7272727257024791,2.111111108765432,1.8476767656385822,0.1454056454012167,1.7499999978124998,0.15000000028749993,5,0,0.01,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.02,maximize
privacy.k-anonymization.syn,4.00000001,6.00000001,5.40000001,0.7999999999999999,6.00000001,1.0,5,0,0.02,maximize
privacy.k-map.score,8.0,10.0,8.8,0.9797958971132713,8.0,2.0,5,0,0.01,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.03,maximize
privacy.distinct l-diversity.syn,4.00000001,6.00000001,5.40000001,0.7999999999999999,6.00000001,1.0,5,0,0.03,maximize
privacy.identifiability_score.score,0.0,0.0196078431372549,0.00784313725490196,0.009605842128561482,0.0,0.0196078431372549,5,0,0.03,minimize
privacy.identifiability_score.score_OC,0.0,0.0392156862745098,0.01568627450980392,0.014673166222642907,0.0196078431372549,0.0196078431372549,5,0,0.03,minimize
